name,rating,reviews,industry,location
Flex,3.9,(2.7k),Electronics Manufacturing,Chennai +46 other locations
TVS Supply Chain Solutions,3.8,(2.7k),Logistics,Chennai +155 other locations
Micro Labs,3.6,(2.7k),Pharma,Bengaluru +155 other locations
ElasticRun,3.6,(2.7k),Logistics,Pune +390 other locations
KFintech,3.3,(2.7k),Financial Services,Hyderabad +113 other locations
Whitehat jr,3.3,(2.7k),EdTech,Mumbai +48 other locations
Capita,3.5,(2.7k),BPO,Pune +32 other locations
G4S,4.0,(2.7k),Law Enforcement & Security,Gurugram +166 other locations
Ajanta Pharma,3.9,(2.7k),Pharma,Mumbai +118 other locations
Care Health Insurance,3.5,(2.7k),Insurance,Gurugram +256 other locations
Blue Star,4.0,(2.7k),Consumer Electronics & Appliances,Mumbai +148 other locations
Gallagher,3.6,(2.7k),Insurance,Bengaluru +29 other locations
Sonalika Tractors,3.5,(2.7k),Automobile,Hoshiarpur +197 other locations
Movate,3.1,(2.7k),IT Services & Consulting,Chennai +38 other locations
Voltas,4.0,(2.7k),Consumer Electronics & Appliances,Mumbai +203 other locations
Photon Interactive,4.1,(2.6k),IT Services & Consulting,Chennai +19 other locations
Tata Advanced Systems,3.7,(2.6k),Defence & Aerospace,Bengaluru +58 other locations
BlackBuck,3.7,(2.6k),Internet,Bengaluru +363 other locations
DBS Bank,3.7,(2.6k),Banking,Hyderabad +180 other locations
NoBroker,3.0,(2.6k),Internet,Bengaluru +46 other locations
ACT Fibernet,3.8,(2.6k),Telecom,Hyderabad +57 other locations
Adani Power,3.7,(2.6k),Power,Mundra +130 other locations
Domino's Pizza,3.9,(2.6k),Hospitality,New Delhi +253 other locations
Foundever,3.4,(2.6k),BPO,Hyderabad +21 other locations
IntouchCX,2.7,(2.6k),BPO,Hyderabad +22 other locations
Fortis Healthcare,4.0,(2.6k),Healthcare,New Delhi +69 other locations
BT Group,3.8,(2.6k),Telecom,Gurugram +26 other locations
Himalaya Wellness,3.9,(2.6k),Pharma,Bengaluru +243 other locations
Laurus Labs,4.3,(2.6k),Pharma,Visakhapatnam +34 other locations
Sahrudaya Healthcare (Medicover Hospitals),4.3,(2.6k),Healthcare,Hyderabad +46 other locations
V-Mart,4.0,(2.6k),Retail,Gurugram +286 other locations
JCB,3.8,(2.5k),Industrial Machinery,Pune +111 other locations
Alldigi Tech,3.9,(2.5k),BPO,Chennai +36 other locations
Sterlite Technologies,3.8,(2.5k),Hardware & Networking,Chhatrapati Sambhajinagar +100 other locations
Northern Trust Operating Services,3.6,(2.5k),Financial Services,Bengaluru +27 other locations
Tractors and Farm Equipment,3.9,(2.5k),Industrial Machinery,Chennai +192 other locations
Bajaj Electricals,3.9,(2.5k),Consumer Electronics & Appliances,Mumbai +235 other locations
Sammaan Capital Limited,3.7,(2.5k),NBFC,Gurugram +199 other locations
Adani Group,3.8,(2.5k),Power,Ahmedabad +201 other locations
Parle Agro,3.9,(2.5k),Beverage,Mumbai +259 other locations
CorroHealth Infotech,3.6,(2.5k),Analytics & KPO,Hyderabad +38 other locations
ICICI Securities,3.9,(2.5k),Financial Services,Mumbai +152 other locations
Emcure Pharmaceuticals,3.7,(2.5k),Pharma,Pune +120 other locations
Planet Spark,3.8,(2.5k),EdTech,Gurugram +59 other locations
Biocon Limited,4.0,(2.5k),Biotechnology,Bengaluru +66 other locations
TaskUs,3.0,(2.5k),BPO,Indore +38 other locations
Hero FinCorp,3.9,(2.4k),NBFC,New Delhi +395 other locations
Intellect Design Arena,3.5,(2.4k),Software Product,Chennai +40 other locations
McDonald's,3.9,(2.4k),Hospitality,New Delhi +151 other locations
Mahindra Holidays & Resorts,3.5,(2.4k),Hospitality,Mumbai +114 other locations
Datamatics Global Services,3.4,(2.4k),IT Services & Consulting,Mumbai +38 other locations
